Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,10.078,7.959,6.221,5.238,4.486,3.884,3.442,3.086,2.784,2.52,2.288,2.082,1.902,1.75,1.622,1.515,1.426,1.351,1.287,1.233,1.185,1.143,1.105,1.07,1.039,1.009,0.981,0.954,0.928,0.903,0.878,0.853,0.83,0.806,0.784,0.762,0.74
N III λ990,0.137,0.224,0.153,0.129,0.11,0.095,0.083,0.074,0.067,0.06,0.054,0.049,0.044,0.04,0.037,0.034,0.032,0.03,0.028,0.027,0.025,0.024,0.023,0.022,0.021,0.021,0.02,0.019,0.018,0.018,0.017,0.016,0.016,0.015,0.015,0.014,0.014
"O VI λλ1032, 1037",0.0,0.178,5.704,18.893,19.774,18.216,16.557,15.204,13.827,12.525,11.488,10.569,9.769,9.011,8.376,7.866,7.413,7.017,6.669,6.365,6.106,5.884,5.682,5.497,5.324,5.161,5.006,4.862,4.721,4.586,4.455,4.328,4.204,4.085,3.968,3.855,3.745
Lyα λ1215,59.317,42.602,35.524,35.376,36.136,37.511,39.607,42.037,44.539,47.005,49.304,51.295,52.943,54.26,55.291,56.091,56.723,57.238,57.675,58.063,58.399,58.697,58.964,59.208,59.43,59.639,59.838,60.05,60.269,60.492,60.737,61.009,61.308,61.629,61.976,62.337,62.701
N V λ1239,0.003,0.22,0.283,0.275,0.247,0.221,0.2,0.18,0.164,0.15,0.135,0.124,0.113,0.103,0.096,0.089,0.084,0.079,0.075,0.072,0.069,0.066,0.064,0.062,0.06,0.058,0.057,0.055,0.053,0.052,0.051,0.049,0.048,0.046,0.045,0.044,0.043
SiIV + O IV λ1400,0.911,2.339,2.263,1.903,1.627,1.408,1.25,1.123,1.016,0.922,0.839,0.764,0.698,0.641,0.593,0.552,0.519,0.49,0.466,0.446,0.428,0.412,0.398,0.385,0.373,0.362,0.351,0.341,0.332,0.322,0.313,0.305,0.296,0.288,0.28,0.272,0.264
N IV λ1486,0.014,0.077,0.047,0.039,0.034,0.029,0.026,0.023,0.021,0.019,0.017,0.016,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006
C IV λλ1548+1551,2.819,4.505,3.378,2.925,2.551,2.235,2.0,1.8,1.626,1.474,1.338,1.218,1.112,1.022,0.946,0.882,0.829,0.784,0.746,0.714,0.685,0.66,0.637,0.616,0.597,0.58,0.563,0.547,0.532,0.517,0.502,0.488,0.474,0.461,0.447,0.435,0.422
He II λ1640,0.601,0.595,0.49,0.473,0.492,0.527,0.586,0.66,0.738,0.819,0.892,0.947,0.978,0.985,0.977,0.961,0.943,0.927,0.912,0.9,0.889,0.88,0.871,0.863,0.856,0.848,0.842,0.836,0.831,0.827,0.823,0.82,0.819,0.819,0.819,0.82,0.821
O III] λλ1661+1666,0.673,1.01,0.804,0.676,0.583,0.509,0.456,0.412,0.374,0.341,0.311,0.284,0.261,0.241,0.224,0.21,0.198,0.188,0.179,0.172,0.165,0.159,0.154,0.149,0.145,0.141,0.137,0.133,0.129,0.125,0.122,0.118,0.115,0.112,0.109,0.106,0.103
N III λ1750,0.048,0.062,0.044,0.038,0.033,0.028,0.025,0.023,0.021,0.019,0.017,0.016,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006
C III] λ1909,3.067,2.295,1.806,1.532,1.326,1.16,1.037,0.94,0.856,0.784,0.721,0.666,0.617,0.576,0.542,0.513,0.488,0.467,0.448,0.432,0.418,0.405,0.393,0.382,0.372,0.362,0.353,0.344,0.335,0.326,0.318,0.31,0.302,0.295,0.288,0.281,0.274
C II] λ2326,0.472,0.345,0.29,0.265,0.258,0.26,0.269,0.28,0.29,0.298,0.303,0.307,0.308,0.307,0.306,0.305,0.304,0.303,0.303,0.303,0.303,0.303,0.304,0.304,0.305,0.306,0.307,0.308,0.31,0.311,0.313,0.315,0.317,0.32,0.322,0.325,0.328
Mg II λ2800,0.118,0.206,0.337,0.463,0.629,0.764,0.869,0.949,1.012,1.068,1.123,1.173,1.212,1.24,1.259,1.272,1.281,1.287,1.292,1.294,1.296,1.298,1.299,1.3,1.301,1.302,1.302,1.302,1.302,1.301,1.301,1.301,1.3,1.3,1.301,1.301,1.302
Ne V λ3426,0.0,0.024,0.095,0.172,0.163,0.141,0.124,0.11,0.099,0.09,0.081,0.074,0.067,0.062,0.057,0.053,0.05,0.047,0.045,0.043,0.042,0.04,0.039,0.038,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.031,0.03,0.029,0.028,0.027,0.027
Ne III λ3869,0.188,0.247,0.202,0.18,0.176,0.183,0.198,0.216,0.236,0.255,0.272,0.286,0.296,0.303,0.307,0.309,0.309,0.308,0.307,0.306,0.305,0.304,0.303,0.302,0.302,0.301,0.3,0.3,0.3,0.3,0.301,0.301,0.302,0.304,0.305,0.307,0.309
[O II] λλ3727+3729,0.188,0.247,0.202,0.18,0.176,0.183,0.198,0.216,0.236,0.255,0.272,0.286,0.296,0.303,0.307,0.309,0.309,0.308,0.307,0.306,0.305,0.304,0.303,0.302,0.302,0.301,0.3,0.3,0.3,0.3,0.301,0.301,0.302,0.304,0.305,0.307,0.309
[S II] λλ4069+4076,0.039,0.05,0.064,0.08,0.101,0.121,0.139,0.156,0.17,0.182,0.192,0.199,0.205,0.209,0.214,0.218,0.222,0.226,0.231,0.236,0.241,0.247,0.252,0.258,0.263,0.269,0.275,0.281,0.287,0.293,0.299,0.305,0.311,0.317,0.324,0.33,0.336
[O III] λ4363,0.104,0.152,0.121,0.102,0.088,0.077,0.069,0.063,0.057,0.052,0.048,0.044,0.04,0.037,0.034,0.032,0.03,0.029,0.028,0.026,0.025,0.025,0.024,0.023,0.022,0.022,0.021,0.02,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016
He II λ4686,0.057,0.063,0.052,0.051,0.055,0.062,0.072,0.084,0.098,0.111,0.123,0.133,0.138,0.139,0.139,0.137,0.134,0.132,0.13,0.128,0.127,0.126,0.125,0.124,0.123,0.122,0.121,0.12,0.12,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.12
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,1.05,1.404,1.116,0.944,0.821,0.725,0.657,0.601,0.551,0.506,0.465,0.428,0.396,0.367,0.343,0.323,0.305,0.29,0.277,0.266,0.256,0.247,0.238,0.231,0.224,0.217,0.211,0.205,0.199,0.193,0.188,0.182,0.177,0.172,0.167,0.162,0.158
[N I] λ5200,0.015,0.015,0.027,0.027,0.033,0.033,0.044,0.044,0.064,0.064,0.084,0.084,0.101,0.101,0.116,0.116,0.128,0.128,0.137,0.137,0.142,0.142,0.144,0.144,0.144,0.144,0.143,0.143,0.142,0.142,0.14,0.14,0.139,0.139,0.138,0.138,0.138
[O I] λ6300,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.181,3.104,3.06,3.037,3.022,3.017,3.02,3.028,3.038,3.05,3.061,3.071,3.079,3.085,3.09,3.093,3.096,3.097,3.098,3.099,3.1,3.101,3.101,3.102,3.103,3.103,3.104,3.105,3.106,3.107,3.108,3.109,3.111,3.112,3.114,3.116,3.118
[N II] λ6583,0.09,0.112,0.138,0.156,0.178,0.196,0.213,0.228,0.242,0.254,0.266,0.276,0.284,0.29,0.295,0.298,0.3,0.302,0.302,0.303,0.303,0.302,0.302,0.301,0.3,0.298,0.297,0.296,0.294,0.293,0.291,0.29,0.289,0.287,0.286,0.285,0.284
[S II] λλ6716+6731,0.784,1.243,1.538,1.878,2.318,2.673,2.981,3.224,3.401,3.513,3.566,3.567,3.534,3.484,3.43,3.378,3.331,3.293,3.262,3.238,3.22,3.208,3.199,3.195,3.195,3.198,3.205,3.214,3.227,3.241,3.257,3.273,3.29,3.306,3.32,3.331,3.338
[O II] λλ7319+7320,0.093,0.08,0.066,0.059,0.053,0.049,0.046,0.044,0.042,0.041,0.04,0.04,0.04,0.04,0.041,0.041,0.042,0.042,0.043,0.044,0.044,0.045,0.045,0.046,0.047,0.047,0.047,0.048,0.048,0.049,0.049,0.049,0.049,0.05,0.05,0.05,0.051
