Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,24.247,15.992,4.276,2.694,3.343,2.594,2.185,1.886,1.644,1.456,1.299,1.164,1.045,0.947,0.866,0.793,0.733,0.682,0.639,0.602,0.57,0.541,0.516,0.494,0.473,0.454,0.437,0.42,0.405,0.391,0.377,0.364,0.352,0.34,0.328,0.317,0.307
N III λ990,1.334,1.076,1.073,0.34,0.37,0.291,0.254,0.229,0.204,0.181,0.161,0.143,0.128,0.115,0.105,0.096,0.089,0.082,0.077,0.072,0.068,0.065,0.061,0.059,0.056,0.054,0.051,0.049,0.047,0.045,0.043,0.042,0.04,0.038,0.037,0.035,0.034
"O VI λλ1032, 1037",0.0,0.034,2.316,28.848,57.186,40.602,36.854,33.852,30.876,28.373,26.028,23.846,21.84,19.967,18.368,16.872,15.558,14.424,13.448,12.592,11.829,11.159,10.56,10.021,9.529,9.072,8.653,8.261,7.902,7.566,7.252,6.96,6.682,6.42,6.175,5.945,5.729
Lyα λ1215,78.159,41.289,24.769,23.957,23.928,23.532,23.42,23.376,23.361,23.409,23.464,23.531,23.596,23.657,23.712,23.744,23.776,23.805,23.834,23.866,23.905,23.956,24.023,24.113,24.23,24.377,24.563,24.784,25.036,25.326,25.68,26.016,26.392,26.776,27.214,27.655,28.139
N V λ1239,0.0,0.57,3.193,2.815,2.0,1.579,1.412,1.297,1.174,1.06,0.954,0.85,0.758,0.682,0.617,0.561,0.515,0.476,0.442,0.413,0.388,0.366,0.347,0.33,0.314,0.3,0.287,0.275,0.264,0.253,0.244,0.235,0.227,0.219,0.212,0.205,0.198
SiIV + O IV λ1400,1.063,3.546,3.685,2.928,2.192,1.714,1.537,1.432,1.326,1.235,1.146,1.057,0.969,0.889,0.818,0.756,0.702,0.657,0.617,0.584,0.554,0.527,0.503,0.482,0.462,0.444,0.427,0.411,0.396,0.383,0.37,0.358,0.347,0.336,0.326,0.316,0.308
N IV λ1486,0.048,0.397,0.441,0.143,0.139,0.11,0.098,0.091,0.084,0.078,0.072,0.067,0.062,0.057,0.053,0.049,0.045,0.043,0.04,0.038,0.036,0.034,0.033,0.032,0.03,0.029,0.028,0.027,0.026,0.026,0.025,0.024,0.024,0.023,0.022,0.022,0.022
C IV λλ1548+1551,1.968,21.619,10.181,4.421,4.737,3.724,3.202,2.781,2.418,2.143,1.923,1.733,1.563,1.419,1.299,1.189,1.097,1.021,0.955,0.898,0.849,0.807,0.769,0.735,0.704,0.676,0.651,0.627,0.606,0.586,0.567,0.551,0.535,0.52,0.507,0.495,0.485
He II λ1640,0.056,0.85,0.693,0.548,0.644,0.827,1.162,1.569,1.957,2.327,2.62,2.797,2.852,2.813,2.733,2.639,2.55,2.471,2.401,2.34,2.283,2.232,2.184,2.143,2.105,2.074,2.05,2.031,2.02,2.017,2.021,2.033,2.051,2.074,2.102,2.132,2.163
