Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,975,1000
C III λ977,19.428,10.876,4.97,4.867,4.358,3.678,3.222,2.859,2.554,2.297,2.07,1.868,1.688,1.531,1.389,1.264,1.154,1.056,0.97,0.894,0.826,0.765,0.711,0.662,0.618,0.579,0.543,0.51,0.481,0.454,0.429,0.407,0.386,0.367,0.334,0.319
N III λ990,0.557,0.734,0.384,0.267,0.246,0.209,0.185,0.166,0.149,0.135,0.122,0.11,0.1,0.091,0.083,0.076,0.069,0.064,0.058,0.054,0.05,0.046,0.043,0.04,0.038,0.035,0.033,0.031,0.029,0.028,0.026,0.025,0.024,0.023,0.02,0.02
"O VI λλ1032, 1037",0.0,0.155,6.139,32.834,35.814,31.969,29.556,27.115,24.951,23.103,21.333,19.614,18.029,16.586,15.162,13.832,12.649,11.589,10.621,9.762,8.993,8.306,7.699,7.148,6.651,6.206,5.8,5.434,5.105,4.807,4.534,4.29,4.064,3.86,3.499,3.34
Lyα λ1215,58.509,42.641,38.617,38.508,38.987,39.47,40.628,42.234,44.04,45.917,47.644,49.06,50.091,50.724,50.981,50.959,50.771,50.452,50.028,49.568,49.069,48.556,48.058,47.569,47.114,46.701,46.334,46.019,45.764,45.564,45.419,45.336,45.294,45.299,45.403,45.475
N V λ1239,0.042,0.926,2.417,1.402,1.413,1.233,1.125,1.032,0.947,0.862,0.782,0.707,0.639,0.576,0.522,0.473,0.431,0.393,0.359,0.33,0.304,0.281,0.261,0.242,0.226,0.211,0.198,0.185,0.174,0.165,0.155,0.147,0.14,0.133,0.121,0.115
SiIV + O IV λ1400,1.861,2.924,2.823,2.348,1.983,1.697,1.517,1.369,1.243,1.133,1.033,0.94,0.853,0.775,0.704,0.641,0.585,0.536,0.491,0.453,0.418,0.387,0.36,0.335,0.312,0.292,0.274,0.257,0.242,0.228,0.216,0.205,0.194,0.185,0.168,0.161
N IV λ1486,0.182,0.397,0.244,0.144,0.14,0.121,0.11,0.1,0.093,0.086,0.08,0.074,0.068,0.063,0.058,0.054,0.05,0.046,0.043,0.04,0.038,0.035,0.033,0.031,0.029,0.028,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.018,0.017
C IV λλ1548+1551,9.54,12.344,4.313,3.877,3.609,3.096,2.751,2.453,2.193,1.974,1.78,1.607,1.451,1.315,1.192,1.083,0.987,0.902,0.827,0.761,0.703,0.65,0.604,0.562,0.524,0.49,0.459,0.431,0.406,0.383,0.362,0.343,0.326,0.31,0.282,0.269
He II λ1640,0.46,0.64,0.402,0.354,0.367,0.389,0.459,0.548,0.648,0.753,0.843,0.902,0.92,0.904,0.868,0.824,0.779,0.736,0.694,0.656,0.619,0.585,0.553,0.524,0.497,0.473,0.451,0.432,0.415,0.401,0.39,0.38,0.373,0.367,0.36,0.358
O III] λλ1661+1666,1.888,2.213,1.744,1.378,1.178,1.01,0.904,0.813,0.734,0.666,0.604,0.549,0.499,0.455,0.415,0.378,0.346,0.316,0.29,0.267,0.246,0.227,0.21,0.195,0.181,0.169,0.158,0.148,0.138,0.13,0.122,0.116,0.109,0.103,0.093,0.089
N III λ1750,0.448,0.513,0.285,0.212,0.195,0.168,0.15,0.136,0.123,0.112,0.102,0.092,0.084,0.077,0.07,0.064,0.059,0.054,0.05,0.046,0.043,0.04,0.037,0.035,0.032,0.03,0.028,0.027,0.025,0.024,0.022,0.021,0.02,0.019,0.018,0.017
C III] λ1909,6.093,3.455,1.902,1.786,1.622,1.399,1.253,1.14,1.049,0.975,0.913,0.859,0.81,0.765,0.721,0.677,0.636,0.597,0.559,0.524,0.491,0.46,0.431,0.405,0.38,0.358,0.337,0.319,0.302,0.287,0.273,0.262,0.251,0.242,0.226,0.219
C II] λ2326,1.261,0.819,0.643,0.669,0.729,0.785,0.89,1.005,1.112,1.206,1.275,1.318,1.336,1.333,1.313,1.282,1.248,1.21,1.171,1.133,1.095,1.06,1.027,0.995,0.968,0.943,0.922,0.905,0.891,0.88,0.872,0.868,0.865,0.865,0.87,0.873
Mg II λ2800,0.462,0.751,1.066,1.354,1.831,2.209,2.591,2.919,3.184,3.425,3.65,3.841,3.975,4.044,4.051,4.013,3.952,3.871,3.776,3.68,3.581,3.483,3.392,3.302,3.22,3.146,3.078,3.017,2.965,2.919,2.88,2.849,2.822,2.801,2.778,2.772
Ne V λ3426,0.001,0.029,0.105,0.188,0.254,0.213,0.187,0.167,0.15,0.136,0.123,0.111,0.1,0.091,0.083,0.076,0.069,0.063,0.058,0.054,0.05,0.046,0.043,0.04,0.038,0.035,0.033,0.031,0.029,0.028,0.026,0.025,0.024,0.023,0.021,0.02
Ne III λ3869,0.722,0.663,0.507,0.481,0.499,0.547,0.66,0.795,0.94,1.081,1.199,1.285,1.338,1.356,1.342,1.308,1.263,1.212,1.156,1.102,1.048,0.996,0.948,0.903,0.862,0.825,0.793,0.764,0.74,0.72,0.704,0.691,0.682,0.675,0.666,0.663
[O II] λλ3727+3729,0.722,0.663,0.507,0.481,0.499,0.547,0.66,0.795,0.94,1.081,1.199,1.285,1.338,1.356,1.342,1.308,1.263,1.212,1.156,1.102,1.048,0.996,0.948,0.903,0.862,0.825,0.793,0.764,0.74,0.72,0.704,0.691,0.682,0.675,0.666,0.663
[S II] λλ4069+4076,0.505,0.689,0.812,0.966,1.205,1.41,1.66,1.873,2.035,2.148,2.206,2.216,2.19,2.14,2.076,2.006,1.939,1.876,1.816,1.765,1.719,1.68,1.649,1.623,1.604,1.592,1.586,1.586,1.59,1.598,1.609,1.624,1.639,1.657,1.693,1.711
[O III] λ4363,0.316,0.36,0.284,0.229,0.199,0.174,0.159,0.147,0.136,0.126,0.117,0.109,0.102,0.095,0.088,0.082,0.077,0.071,0.067,0.062,0.058,0.055,0.052,0.049,0.046,0.043,0.041,0.039,0.037,0.035,0.033,0.032,0.03,0.029,0.027,0.026
He II λ4686,0.045,0.076,0.051,0.045,0.048,0.052,0.064,0.078,0.093,0.109,0.123,0.132,0.134,0.132,0.126,0.12,0.113,0.107,0.1,0.095,0.089,0.084,0.08,0.075,0.072,0.068,0.065,0.062,0.06,0.058,0.056,0.055,0.054,0.053,0.052,0.051
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,3.414,3.586,2.734,2.178,1.864,1.595,1.426,1.278,1.146,1.03,0.925,0.83,0.744,0.667,0.596,0.533,0.476,0.426,0.382,0.343,0.308,0.277,0.25,0.226,0.205,0.186,0.17,0.155,0.141,0.13,0.119,0.11,0.101,0.093,0.08,0.075
[N I] λ5200,0.04,0.04,0.044,0.044,0.034,0.034,0.036,0.036,0.053,0.053,0.066,0.066,0.078,0.078,0.083,0.083,0.082,0.082,0.078,0.078,0.073,0.073,0.067,0.067,0.061,0.061,0.057,0.057,0.053,0.053,0.051,0.051,0.049,0.049,0.048,0.048
[O I] λ6300,3.127,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.048,2.986,2.948,2.935,2.928,2.92,2.92,2.925,2.932,2.943,2.953,2.963,2.972,2.98,2.988,2.994,3.0,3.004,3.009,3.012,3.016,3.018,3.02,3.022,3.023,3.023,3.024,3.024,3.024,3.025,3.025,3.025,3.025,3.025,3.026,3.026
[N II] λ6583,1.177,1.383,1.34,1.267,1.305,1.289,1.303,1.307,1.29,1.256,1.202,1.132,1.049,0.961,0.871,0.785,0.707,0.637,0.574,0.519,0.471,0.428,0.392,0.36,0.332,0.308,0.287,0.269,0.253,0.24,0.228,0.218,0.209,0.202,0.188,0.183
[S II] λλ6716+6731,0.424,0.448,0.365,0.367,0.46,0.519,0.567,0.571,0.549,0.513,0.472,0.432,0.399,0.373,0.354,0.342,0.335,0.332,0.332,0.335,0.339,0.345,0.353,0.362,0.371,0.382,0.392,0.401,0.41,0.419,0.426,0.432,0.436,0.44,0.444,0.446
[O II] λλ7319+7320,0.997,0.928,0.777,0.713,0.705,0.685,0.682,0.684,0.687,0.688,0.686,0.68,0.67,0.655,0.635,0.612,0.586,0.559,0.53,0.502,0.474,0.447,0.421,0.396,0.373,0.352,0.333,0.315,0.299,0.285,0.272,0.261,0.251,0.242,0.227,0.221
[S III] λλ9069+9031,0.444,0.417,0.316,0.322,0.514,0.677,0.834,0.998,1.155,1.294,1.403,1.48,1.533,1.571,1.603,1.635,1.676,1.723,1.772,1.829,1.887,1.946,2.007,2.065,2.122,2.177,2.228,2.276,2.32,2.36,2.395,2.429,2.458,2.486,2.535,2.558
Brα λ4.051 μm,0.078,0.082,0.081,0.08,0.079,0.078,0.078,0.078,0.077,0.077,0.077,0.077,0.078,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.087,0.088,0.089,0.089,0.09,0.09,0.09,0.09,0.09,0.091,0.091,0.091,0.091
[Ar VI] λ4.530 μm,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ar II] λ6.983 μm,0.157,0.185,0.182,0.189,0.21,0.225,0.243,0.261,0.277,0.294,0.314,0.338,0.37,0.412,0.464,0.525,0.592,0.662,0.733,0.804,0.872,0.936,0.996,1.051,1.102,1.147,1.187,1.222,1.252,1.277,1.298,1.315,1.329,1.34,1.355,1.36
[Ne VI] λ7.652 μm,0.0,0.0,0.006,0.041,0.125,0.114,0.099,0.087,0.077,0.069,0.062,0.056,0.051,0.046,0.041,0.038,0.034,0.031,0.029,0.026,0.024,0.022,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.011,0.01,0.009,0.009
[Ar III] λ8.991 μm,0.024,0.021,0.015,0.014,0.023,0.025,0.028,0.029,0.029,0.029,0.028,0.028,0.027,0.026,0.025,0.023,0.022,0.02,0.019,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006
[S IV] λ10.44 μm,0.018,0.023,0.012,0.009,0.007,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ne II] λ12.8 μm,1.108,1.23,1.102,1.229,1.635,1.826,1.988,2.09,2.153,2.2,2.248,2.308,2.392,2.507,2.648,2.813,2.994,3.186,3.381,3.581,3.781,3.981,4.181,4.38,4.58,4.781,4.981,5.179,5.376,5.567,5.75,5.924,6.083,6.229,6.471,6.568
[Ne V] λ14.5 μm,0.0,0.004,0.013,0.022,0.028,0.024,0.021,0.018,0.016,0.015,0.013,0.012,0.01,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
[Ne V] λ15.5 μm,0.143,0.145,0.122,0.151,0.281,0.414,0.551,0.651,0.719,0.756,0.762,0.746,0.717,0.68,0.641,0.605,0.573,0.548,0.527,0.513,0.503,0.498,0.498,0.502,0.511,0.523,0.539,0.558,0.58,0.604,0.629,0.654,0.678,0.7,0.736,0.749
[S III] λ18.7 μm,0.026,0.022,0.014,0.014,0.025,0.032,0.041,0.05,0.059,0.069,0.079,0.091,0.106,0.123,0.142,0.161,0.178,0.193,0.205,0.214,0.22,0.224,0.225,0.225,0.223,0.22,0.216,0.212,0.207,0.201,0.196,0.19,0.184,0.178,0.168,0.163
[O IV] λ25.9 μm,0.054,0.101,0.086,0.06,0.042,0.031,0.023,0.018,0.014,0.012,0.009,0.007,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log Hβ ergs/cm2/s,-2.179,-1.942,-1.705,-1.573,-1.46,-1.341,-1.244,-1.155,-1.072,-0.994,-0.919,-0.845,-0.775,-0.707,-0.64,-0.576,-0.515,-0.456,-0.399,-0.344,-0.292,-0.241,-0.192,-0.145,-0.099,-0.055,-0.012,0.029,0.069,0.107,0.144,0.18,0.215,0.249,0.313,0.344
