Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,18.095,11.394,3.95,3.739,3.385,2.726,2.331,2.063,1.864,1.666,1.492,1.341,1.211,1.101,1.008,0.929,0.862,0.804,0.754,0.71,0.672,0.637,0.605,0.577,0.55,0.525,0.503,0.481,0.461,0.443,0.425,0.409,0.393,0.379,0.366,0.353,0.341
N III λ990,0.96,1.228,0.81,0.413,0.397,0.321,0.278,0.247,0.224,0.199,0.177,0.159,0.142,0.129,0.118,0.108,0.1,0.093,0.087,0.082,0.077,0.073,0.069,0.066,0.063,0.06,0.057,0.054,0.052,0.05,0.047,0.045,0.043,0.042,0.04,0.038,0.037
"O VI λλ1032, 1037",0.0,0.101,4.492,32.74,40.294,34.41,31.407,28.95,27.117,25.045,22.899,21.07,19.239,17.695,16.319,15.027,13.897,12.918,12.056,11.281,10.585,9.965,9.405,8.898,8.425,7.991,7.59,7.209,6.857,6.534,6.232,5.949,5.688,5.445,5.219,5.007,4.808
Lyα λ1215,55.121,33.237,23.25,22.864,22.672,22.38,22.437,22.846,23.571,24.372,25.161,25.852,26.384,26.767,27.029,27.207,27.355,27.503,27.67,27.867,28.105,28.387,28.723,29.125,29.553,30.015,30.561,31.169,31.731,32.332,32.96,33.707,34.41,35.126,35.825,36.592,37.352
N V λ1239,0.009,0.769,2.748,1.507,1.521,1.271,1.141,1.048,0.975,0.889,0.805,0.719,0.648,0.584,0.529,0.484,0.445,0.412,0.383,0.358,0.337,0.317,0.3,0.284,0.269,0.256,0.244,0.232,0.221,0.212,0.202,0.194,0.186,0.179,0.172,0.165,0.159
SiIV + O IV λ1400,1.499,2.746,2.976,2.433,1.93,1.581,1.395,1.273,1.186,1.092,1.004,0.92,0.84,0.768,0.706,0.652,0.606,0.566,0.532,0.502,0.475,0.451,0.429,0.409,0.391,0.374,0.358,0.343,0.33,0.317,0.305,0.294,0.284,0.275,0.267,0.259,0.251
N IV λ1486,0.132,0.356,0.295,0.122,0.123,0.1,0.088,0.08,0.074,0.068,0.063,0.058,0.053,0.049,0.045,0.042,0.039,0.036,0.034,0.032,0.031,0.029,0.028,0.027,0.025,0.024,0.023,0.022,0.022,0.021,0.02,0.019,0.019,0.018,0.018,0.017,0.017
C IV λλ1548+1551,6.256,13.896,4.774,3.719,3.515,2.891,2.527,2.262,2.058,1.845,1.658,1.499,1.356,1.232,1.129,1.04,0.963,0.898,0.841,0.792,0.748,0.709,0.674,0.642,0.612,0.585,0.56,0.537,0.515,0.495,0.477,0.46,0.444,0.43,0.417,0.406,0.395
He II λ1640,0.295,0.832,0.554,0.5,0.644,0.817,1.108,1.45,1.82,2.146,2.403,2.565,2.618,2.592,2.529,2.455,2.387,2.327,2.273,2.224,2.179,2.137,2.097,2.06,2.025,1.995,1.97,1.948,1.931,1.921,1.917,1.918,1.925,1.937,1.953,1.97,1.989
O III] λλ1661+1666,1.743,1.917,1.673,1.285,1.022,0.84,0.741,0.667,0.608,0.547,0.491,0.445,0.406,0.375,0.351,0.33,0.312,0.297,0.284,0.272,0.261,0.252,0.243,0.235,0.227,0.22,0.214,0.208,0.202,0.197,0.193,0.189,0.186,0.183,0.181,0.179,0.178
N III λ1750,0.361,0.403,0.264,0.15,0.143,0.118,0.104,0.095,0.088,0.08,0.074,0.068,0.064,0.06,0.058,0.056,0.054,0.052,0.051,0.05,0.049,0.048,0.047,0.046,0.045,0.045,0.044,0.043,0.043,0.043,0.042,0.042,0.042,0.042,0.043,0.043,0.043
C III] λ1909,5.738,3.441,1.572,1.455,1.367,1.177,1.09,1.085,1.13,1.188,1.26,1.34,1.415,1.482,1.535,1.575,1.606,1.629,1.646,1.658,1.667,1.673,1.677,1.682,1.685,1.69,1.698,1.708,1.721,1.739,1.761,1.789,1.821,1.856,1.894,1.935,1.977
