Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,19.567,10.852,4.928,4.878,4.416,3.755,3.319,2.975,2.688,2.446,2.234,2.047,1.883,1.741,1.618,1.509,1.411,1.325,1.247,1.179,1.116,1.06,1.01,0.961,0.916,0.874,0.832,0.792,0.754,0.716,0.68,0.645,0.612,0.58,0.549,0.52,0.493
N III λ990,0.734,0.95,0.479,0.315,0.284,0.237,0.207,0.183,0.164,0.148,0.134,0.122,0.112,0.103,0.095,0.089,0.083,0.078,0.073,0.069,0.066,0.062,0.059,0.056,0.054,0.051,0.049,0.047,0.044,0.042,0.04,0.038,0.036,0.034,0.033,0.031,0.029
"O VI λλ1032, 1037",0.0,0.155,6.01,32.889,36.251,32.486,30.197,27.921,25.902,24.262,22.588,21.127,19.694,18.482,17.309,16.182,15.159,14.236,13.395,12.639,11.937,11.314,10.757,10.217,9.72,9.255,8.79,8.355,7.934,7.531,7.142,6.768,6.415,6.076,5.755,5.454,5.174
Lyα λ1215,55.933,39.878,36.016,35.9,35.979,35.983,36.346,37.069,38.096,39.379,40.765,42.118,43.318,44.319,45.105,45.676,46.082,46.359,46.525,46.621,46.633,46.607,46.553,46.444,46.324,46.198,46.037,45.89,45.748,45.619,45.506,45.413,45.35,45.307,45.28,45.264,45.264
N V λ1239,0.043,0.928,2.425,1.406,1.429,1.251,1.149,1.059,0.98,0.9,0.829,0.758,0.698,0.642,0.594,0.552,0.515,0.482,0.452,0.426,0.403,0.382,0.363,0.345,0.329,0.313,0.298,0.284,0.27,0.257,0.244,0.231,0.22,0.208,0.198,0.188,0.178
SiIV + O IV λ1400,1.864,2.918,2.814,2.346,1.99,1.708,1.535,1.395,1.276,1.174,1.082,0.998,0.921,0.853,0.793,0.739,0.692,0.649,0.611,0.578,0.547,0.52,0.495,0.471,0.449,0.429,0.408,0.389,0.37,0.352,0.335,0.318,0.302,0.286,0.272,0.258,0.245
N IV λ1486,0.179,0.389,0.239,0.138,0.133,0.114,0.102,0.093,0.085,0.078,0.072,0.067,0.062,0.058,0.054,0.05,0.047,0.044,0.042,0.04,0.038,0.036,0.035,0.033,0.032,0.031,0.029,0.028,0.027,0.026,0.024,0.023,0.022,0.021,0.02,0.019,0.018
C IV λλ1548+1551,9.611,12.353,4.306,3.872,3.629,3.122,2.789,2.507,2.261,2.053,1.87,1.713,1.571,1.451,1.346,1.252,1.168,1.095,1.029,0.972,0.92,0.873,0.832,0.792,0.754,0.72,0.686,0.653,0.622,0.591,0.562,0.533,0.506,0.48,0.455,0.432,0.41
He II λ1640,0.464,0.644,0.407,0.354,0.363,0.383,0.45,0.54,0.645,0.758,0.861,0.937,0.973,0.976,0.96,0.933,0.904,0.875,0.847,0.821,0.794,0.769,0.746,0.721,0.699,0.677,0.656,0.636,0.618,0.601,0.586,0.572,0.56,0.55,0.541,0.533,0.526
O III] λλ1661+1666,1.878,2.191,1.73,1.374,1.183,1.02,0.921,0.836,0.763,0.701,0.645,0.596,0.553,0.515,0.482,0.452,0.425,0.4,0.377,0.357,0.339,0.322,0.307,0.292,0.278,0.266,0.253,0.24,0.229,0.217,0.206,0.195,0.185,0.175,0.166,0.157,0.149
N III λ1750,0.432,0.494,0.276,0.204,0.19,0.165,0.149,0.135,0.123,0.113,0.104,0.096,0.089,0.083,0.077,0.072,0.068,0.064,0.061,0.057,0.055,0.052,0.05,0.047,0.045,0.043,0.041,0.039,0.037,0.035,0.034,0.032,0.03,0.029,0.027,0.026,0.025
C III] λ1909,6.186,3.474,1.917,1.825,1.673,1.451,1.304,1.191,1.099,1.026,0.964,0.913,0.869,0.831,0.796,0.763,0.73,0.699,0.669,0.641,0.614,0.588,0.564,0.54,0.516,0.495,0.472,0.451,0.431,0.411,0.393,0.375,0.358,0.342,0.327,0.314,0.301
C II] λ2326,1.154,0.689,0.488,0.48,0.492,0.502,0.558,0.64,0.732,0.827,0.912,0.981,1.032,1.067,1.089,1.1,1.104,1.102,1.096,1.088,1.077,1.065,1.054,1.04,1.027,1.015,1.001,0.989,0.977,0.966,0.957,0.948,0.942,0.936,0.931,0.926,0.922
Mg II λ2800,0.23,0.268,0.41,0.595,0.895,1.158,1.467,1.789,2.087,2.379,2.667,2.936,3.162,3.339,3.465,3.547,3.594,3.614,3.615,3.604,3.578,3.546,3.511,3.463,3.414,3.364,3.303,3.244,3.183,3.122,3.06,2.998,2.94,2.884,2.83,2.779,2.733
Ne V λ3426,0.001,0.029,0.104,0.188,0.257,0.216,0.191,0.172,0.155,0.142,0.13,0.119,0.109,0.101,0.094,0.088,0.082,0.077,0.073,0.069,0.066,0.062,0.06,0.057,0.054,0.052,0.05,0.047,0.045,0.043,0.041,0.039,0.037,0.035,0.034,0.032,0.03
Ne III λ3869,0.692,0.633,0.481,0.451,0.442,0.448,0.516,0.621,0.749,0.89,1.021,1.134,1.221,1.281,1.314,1.326,1.324,1.312,1.294,1.273,1.248,1.222,1.198,1.171,1.146,1.122,1.097,1.075,1.054,1.036,1.02,1.005,0.994,0.983,0.975,0.967,0.96
[O II] λλ3727+3729,0.692,0.633,0.481,0.451,0.442,0.448,0.516,0.621,0.749,0.89,1.021,1.134,1.221,1.281,1.314,1.326,1.324,1.312,1.294,1.273,1.248,1.222,1.198,1.171,1.146,1.122,1.097,1.075,1.054,1.036,1.02,1.005,0.994,0.983,0.975,0.967,0.96
[S II] λλ4069+4076,0.219,0.272,0.363,0.488,0.657,0.809,1.008,1.218,1.414,1.59,1.733,1.841,1.914,1.963,1.992,2.005,2.007,2.002,1.991,1.981,1.965,1.951,1.938,1.922,1.909,1.898,1.884,1.874,1.863,1.854,1.845,1.837,1.829,1.82,1.81,1.799,1.787
[O III] λ4363,0.305,0.346,0.272,0.217,0.188,0.163,0.148,0.135,0.124,0.115,0.106,0.099,0.092,0.087,0.081,0.077,0.072,0.069,0.065,0.062,0.059,0.056,0.054,0.052,0.049,0.047,0.045,0.043,0.041,0.04,0.038,0.036,0.034,0.033,0.031,0.03,0.028
He II λ4686,0.046,0.078,0.052,0.046,0.048,0.053,0.064,0.078,0.095,0.113,0.128,0.14,0.146,0.146,0.143,0.139,0.135,0.13,0.126,0.122,0.118,0.114,0.11,0.107,0.103,0.1,0.097,0.094,0.091,0.089,0.087,0.085,0.083,0.081,0.08,0.079,0.078
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,3.446,3.606,2.772,2.242,1.958,1.707,1.562,1.436,1.325,1.229,1.142,1.064,0.994,0.931,0.873,0.819,0.769,0.722,0.68,0.641,0.605,0.572,0.542,0.513,0.486,0.46,0.435,0.411,0.388,0.366,0.345,0.325,0.306,0.288,0.271,0.255,0.24
[N I] λ5200,0.059,0.059,0.085,0.085,0.09,0.09,0.101,0.101,0.142,0.142,0.184,0.184,0.248,0.248,0.298,0.298,0.33,0.33,0.343,0.343,0.338,0.338,0.322,0.322,0.299,0.299,0.276,0.276,0.254,0.254,0.235,0.235,0.218,0.218,0.204,0.204,0.192
[O I] λ6300,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.097,3.041,2.998,2.978,2.963,2.95,2.941,2.936,2.935,2.936,2.939,2.943,2.947,2.952,2.956,2.961,2.966,2.97,2.975,2.98,2.984,2.988,2.992,2.997,3.001,3.005,3.01,3.014,3.019,3.024,3.029,3.034,3.039,3.043,3.048,3.052,3.056
[N II] λ6583,1.361,1.541,1.758,1.986,2.343,2.573,2.823,3.077,3.293,3.475,3.61,3.69,3.709,3.673,3.59,3.47,3.328,3.174,3.014,2.857,2.7,2.55,2.41,2.271,2.143,2.024,1.908,1.802,1.704,1.613,1.529,1.452,1.382,1.317,1.257,1.201,1.149
[S II] λλ6716+6731,0.84,1.074,1.127,1.214,1.453,1.652,1.95,2.156,2.252,2.256,2.179,2.05,1.897,1.745,1.604,1.478,1.368,1.273,1.193,1.128,1.073,1.029,0.995,0.967,0.946,0.929,0.914,0.902,0.89,0.878,0.866,0.852,0.838,0.823,0.806,0.79,0.773
[O II] λλ7319+7320,0.591,0.555,0.463,0.436,0.443,0.44,0.45,0.468,0.489,0.51,0.531,0.551,0.567,0.581,0.59,0.595,0.596,0.593,0.588,0.581,0.571,0.56,0.549,0.536,0.522,0.508,0.493,0.479,0.464,0.45,0.436,0.423,0.41,0.399,0.387,0.377,0.367
[S III] λλ9069+9031,0.416,0.378,0.291,0.301,0.477,0.646,0.82,1.023,1.237,1.454,1.655,1.83,1.967,2.07,2.144,2.194,2.228,2.252,2.27,2.287,2.303,2.321,2.346,2.369,2.398,2.433,2.465,2.502,2.54,2.579,2.617,2.654,2.692,2.728,2.762,2.796,2.83
Brα λ4.051 μm,0.086,0.091,0.089,0.087,0.085,0.084,0.083,0.083,0.082,0.081,0.081,0.08,0.08,0.08,0.08,0.08,0.081,0.081,0.082,0.082,0.083,0.084,0.084,0.085,0.086,0.087,0.087,0.088,0.089,0.09,0.091,0.091,0.092,0.093,0.094,0.094,0.095
[Ar VI] λ4.530 μm,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ar II] λ6.983 μm,0.141,0.18,0.186,0.196,0.218,0.235,0.255,0.273,0.289,0.302,0.312,0.319,0.324,0.33,0.337,0.347,0.361,0.378,0.399,0.423,0.45,0.479,0.511,0.545,0.581,0.618,0.655,0.693,0.731,0.769,0.807,0.843,0.879,0.913,0.946,0.978,1.01
