Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,28.862,11.787,5.097,4.981,4.399,3.701,3.279,2.946,2.66,2.417,2.205,2.021,1.86,1.724,1.608,1.508,1.423,1.35,1.287,1.233,1.185,1.142,1.103,1.067,1.034,1.002,0.971,0.941,0.912,0.885,0.857,0.831,0.805,0.779,0.755,0.73,0.706
N III λ990,1.595,1.558,0.798,0.545,0.496,0.421,0.377,0.34,0.308,0.28,0.256,0.235,0.216,0.2,0.187,0.175,0.166,0.157,0.15,0.143,0.138,0.133,0.128,0.124,0.12,0.116,0.113,0.109,0.106,0.102,0.099,0.096,0.093,0.09,0.087,0.084,0.081
"O VI λλ1032, 1037",0.0,0.17,6.265,34.081,36.835,32.779,30.619,28.484,26.496,24.853,23.181,21.757,20.349,19.19,18.096,17.083,16.198,15.43,14.755,14.15,13.615,13.147,12.722,12.329,11.958,11.606,11.266,10.942,10.625,10.326,10.036,9.753,9.476,9.204,8.942,8.685,8.434
Lyα λ1215,61.351,31.663,26.373,25.941,25.578,25.188,24.984,24.825,24.721,24.701,24.775,24.934,25.143,25.373,25.596,25.802,25.991,26.164,26.322,26.467,26.602,26.728,26.845,26.955,27.061,27.167,27.275,27.389,27.514,27.655,27.816,28.0,28.208,28.442,28.702,28.982,29.276
N V λ1239,0.064,1.015,2.549,1.458,1.45,1.261,1.165,1.078,1.0,0.921,0.849,0.779,0.719,0.665,0.619,0.581,0.548,0.52,0.496,0.475,0.457,0.442,0.427,0.414,0.402,0.39,0.379,0.369,0.359,0.349,0.34,0.33,0.321,0.312,0.304,0.295,0.287
SiIV + O IV λ1400,2.76,3.186,2.957,2.433,2.016,1.717,1.55,1.413,1.294,1.192,1.099,1.016,0.94,0.873,0.817,0.768,0.726,0.69,0.66,0.633,0.61,0.59,0.571,0.554,0.537,0.522,0.507,0.493,0.48,0.466,0.454,0.441,0.429,0.417,0.405,0.393,0.382
N IV λ1486,0.266,0.425,0.252,0.142,0.134,0.114,0.102,0.093,0.085,0.078,0.072,0.066,0.061,0.057,0.053,0.05,0.047,0.045,0.043,0.041,0.04,0.038,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.029,0.028,0.027,0.026,0.025,0.025
C IV λλ1548+1551,14.299,13.496,4.513,4.005,3.672,3.134,2.811,2.538,2.291,2.08,1.896,1.74,1.6,1.482,1.382,1.296,1.222,1.161,1.107,1.061,1.021,0.985,0.953,0.924,0.896,0.87,0.846,0.822,0.798,0.776,0.754,0.733,0.712,0.691,0.671,0.651,0.631
He II λ1640,0.697,0.714,0.433,0.37,0.367,0.394,0.485,0.61,0.756,0.913,1.06,1.175,1.241,1.266,1.267,1.258,1.248,1.239,1.232,1.228,1.223,1.22,1.216,1.214,1.212,1.211,1.212,1.215,1.22,1.229,1.24,1.255,1.273,1.294,1.318,1.342,1.368
O III] λλ1661+1666,2.743,2.364,1.793,1.402,1.177,1.004,0.908,0.826,0.753,0.69,0.635,0.586,0.544,0.508,0.477,0.45,0.427,0.407,0.389,0.373,0.36,0.347,0.336,0.325,0.315,0.306,0.297,0.288,0.279,0.271,0.263,0.255,0.247,0.239,0.232,0.225,0.217
N III λ1750,0.593,0.498,0.265,0.191,0.173,0.148,0.133,0.121,0.11,0.101,0.092,0.085,0.079,0.073,0.069,0.065,0.061,0.058,0.056,0.053,0.051,0.05,0.048,0.047,0.045,0.044,0.042,0.041,0.04,0.039,0.038,0.037,0.035,0.034,0.033,0.032,0.031
