Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,19.181,10.383,4.47,4.36,3.873,3.161,2.701,2.367,2.101,1.885,1.696,1.53,1.384,1.257,1.15,1.059,0.983,0.917,0.861,0.812,0.768,0.73,0.694,0.662,0.632,0.604,0.577,0.552,0.527,0.504,0.482,0.461,0.441,0.422,0.404,0.387,0.371
N III λ990,1.043,1.378,0.732,0.48,0.441,0.362,0.313,0.275,0.244,0.219,0.196,0.176,0.158,0.143,0.131,0.12,0.111,0.103,0.096,0.09,0.085,0.08,0.076,0.072,0.069,0.065,0.062,0.059,0.056,0.053,0.051,0.048,0.046,0.044,0.041,0.04,0.038
"O VI λλ1032, 1037",0.0,0.164,6.04,34.058,38.062,33.523,30.844,28.438,26.432,24.813,23.105,21.566,19.989,18.609,17.332,16.133,15.095,14.186,13.379,12.649,11.993,11.405,10.869,10.37,9.905,9.457,9.03,8.626,8.238,7.867,7.517,7.18,6.864,6.563,6.278,6.012,5.761
Lyα λ1215,50.076,31.533,26.361,26.069,25.87,25.588,25.544,25.756,26.241,26.958,27.771,28.561,29.238,29.775,30.184,30.494,30.742,30.947,31.122,31.277,31.427,31.577,31.735,31.905,32.107,32.333,32.59,32.885,33.216,33.58,33.986,34.432,34.925,35.406,35.915,36.426,36.917
N V λ1239,0.041,0.962,2.533,1.452,1.48,1.272,1.154,1.058,0.979,0.9,0.827,0.753,0.687,0.627,0.574,0.53,0.493,0.46,0.432,0.408,0.386,0.367,0.349,0.333,0.318,0.304,0.29,0.277,0.265,0.254,0.243,0.232,0.222,0.212,0.204,0.195,0.187
SiIV + O IV λ1400,1.887,2.965,2.879,2.385,1.999,1.675,1.479,1.332,1.214,1.115,1.024,0.939,0.858,0.786,0.723,0.668,0.622,0.582,0.548,0.518,0.491,0.467,0.445,0.425,0.406,0.388,0.371,0.355,0.34,0.325,0.311,0.298,0.286,0.274,0.263,0.253,0.243
N IV λ1486,0.181,0.395,0.248,0.135,0.131,0.109,0.096,0.086,0.078,0.071,0.065,0.06,0.054,0.05,0.046,0.042,0.039,0.037,0.035,0.033,0.031,0.029,0.028,0.027,0.026,0.024,0.023,0.022,0.021,0.02,0.02,0.019,0.018,0.017,0.017,0.016,0.015
C IV λλ1548+1551,9.689,12.58,4.353,3.846,3.598,3.019,2.646,2.354,2.11,1.906,1.724,1.567,1.422,1.296,1.189,1.097,1.018,0.952,0.894,0.844,0.799,0.759,0.723,0.69,0.659,0.63,0.602,0.576,0.551,0.527,0.504,0.483,0.462,0.443,0.424,0.407,0.39
He II λ1640,0.477,0.701,0.45,0.411,0.496,0.603,0.796,1.029,1.287,1.549,1.775,1.932,2.004,2.01,1.982,1.945,1.908,1.876,1.848,1.823,1.799,1.776,1.755,1.734,1.714,1.695,1.677,1.663,1.65,1.641,1.636,1.634,1.637,1.643,1.652,1.663,1.674
O III] λλ1661+1666,1.814,2.107,1.667,1.297,1.092,0.912,0.801,0.716,0.646,0.587,0.534,0.487,0.446,0.41,0.38,0.353,0.331,0.311,0.294,0.279,0.265,0.253,0.242,0.232,0.222,0.213,0.204,0.195,0.187,0.179,0.172,0.165,0.158,0.152,0.146,0.14,0.135
N III λ1750,0.388,0.442,0.243,0.17,0.156,0.13,0.114,0.102,0.092,0.084,0.076,0.07,0.064,0.059,0.055,0.051,0.048,0.046,0.044,0.042,0.04,0.038,0.037,0.036,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.027,0.026,0.025,0.025,0.024,0.023
C III] λ1909,5.964,3.213,1.694,1.593,1.441,1.211,1.07,0.985,0.935,0.916,0.917,0.931,0.95,0.971,0.99,1.006,1.019,1.03,1.038,1.044,1.048,1.049,1.05,1.048,1.047,1.044,1.041,1.039,1.038,1.038,1.041,1.045,1.052,1.06,1.071,1.083,1.097
C II] λ2326,1.066,0.554,0.343,0.303,0.269,0.244,0.265,0.318,0.381,0.444,0.497,0.534,0.556,0.567,0.571,0.571,0.57,0.568,0.567,0.567,0.569,0.572,0.577,0.584,0.593,0.603,0.614,0.626,0.639,0.652,0.666,0.68,0.695,0.709,0.722,0.735,0.747
Mg II λ2800,0.096,0.074,0.082,0.115,0.199,0.282,0.396,0.512,0.608,0.695,0.78,0.86,0.925,0.971,1.0,1.014,1.018,1.014,1.006,0.995,0.982,0.967,0.952,0.936,0.92,0.903,0.884,0.865,0.846,0.825,0.806,0.787,0.77,0.753,0.74,0.728,0.719
Ne V λ3426,0.001,0.03,0.108,0.194,0.269,0.222,0.194,0.174,0.157,0.144,0.131,0.12,0.11,0.101,0.093,0.086,0.081,0.076,0.072,0.068,0.065,0.062,0.059,0.057,0.055,0.052,0.05,0.048,0.047,0.045,0.043,0.041,0.04,0.038,0.037,0.036,0.034
Ne III λ3869,0.614,0.566,0.432,0.403,0.395,0.408,0.499,0.636,0.793,0.953,1.095,1.213,1.302,1.366,1.408,1.437,1.456,1.47,1.481,1.49,1.497,1.504,1.511,1.518,1.525,1.533,1.54,1.549,1.559,1.569,1.582,1.595,1.611,1.626,1.643,1.66,1.676
[O II] λλ3727+3729,0.614,0.566,0.432,0.403,0.395,0.408,0.499,0.636,0.793,0.953,1.095,1.213,1.302,1.366,1.408,1.437,1.456,1.47,1.481,1.49,1.497,1.504,1.511,1.518,1.525,1.533,1.54,1.549,1.559,1.569,1.582,1.595,1.611,1.626,1.643,1.66,1.676
[S II] λλ4069+4076,0.049,0.041,0.038,0.044,0.06,0.076,0.104,0.132,0.155,0.172,0.183,0.187,0.188,0.186,0.182,0.179,0.175,0.172,0.169,0.166,0.164,0.162,0.161,0.159,0.158,0.157,0.156,0.155,0.154,0.153,0.152,0.151,0.15,0.149,0.148,0.147,0.145
[O III] λ4363,0.293,0.33,0.259,0.203,0.172,0.144,0.127,0.115,0.104,0.095,0.087,0.081,0.075,0.069,0.065,0.061,0.058,0.056,0.053,0.051,0.049,0.048,0.046,0.045,0.043,0.042,0.04,0.039,0.038,0.037,0.036,0.035,0.034,0.033,0.032,0.032,0.031
He II λ4686,0.049,0.09,0.061,0.057,0.072,0.091,0.123,0.16,0.201,0.241,0.276,0.3,0.311,0.311,0.306,0.3,0.294,0.288,0.284,0.28,0.276,0.272,0.269,0.265,0.262,0.259,0.256,0.254,0.252,0.251,0.25,0.249,0.25,0.25,0.252,0.253,0.255
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,3.36,3.484,2.686,2.138,1.845,1.586,1.456,1.372,1.316,1.288,1.28,1.289,1.312,1.346,1.385,1.425,1.464,1.499,1.531,1.558,1.58,1.596,1.606,1.611,1.613,1.61,1.604,1.598,1.591,1.585,1.581,1.579,1.581,1.587,1.596,1.61,1.626
[N I] λ5200,0.05,0.05,0.042,0.042,0.047,0.047,0.06,0.06,0.114,0.114,0.196,0.196,0.324,0.324,0.442,0.442,0.534,0.534,0.596,0.596,0.627,0.627,0.634,0.634,0.624,0.624,0.608,0.608,0.593,0.593,0.584,0.584,0.582,0.582,0.587,0.587,0.6
[O I] λ6300,3.126,3.126,3.126,3.126,3.127,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.231,3.139,3.083,3.054,3.015,2.988,2.969,2.955,2.946,2.941,2.94,2.94,2.942,2.944,2.947,2.949,2.952,2.955,2.958,2.961,2.965,2.969,2.974,2.979,2.985,2.991,2.998,3.005,3.013,3.021,3.028,3.036,3.044,3.051,3.058,3.064,3.07
[N II] λ6583,0.904,0.922,1.044,1.257,1.737,2.182,2.749,3.352,3.904,4.398,4.807,5.122,5.341,5.478,5.555,5.591,5.604,5.6,5.587,5.567,5.544,5.519,5.493,5.464,5.439,5.411,5.384,5.359,5.335,5.313,5.297,5.284,5.276,5.271,5.269,5.27,5.271
[S II] λλ6716+6731,0.753,0.923,1.245,1.581,2.139,2.656,3.333,3.869,4.221,4.418,4.47,4.414,4.292,4.144,3.993,3.854,3.733,3.629,3.542,3.468,3.407,3.355,3.311,3.273,3.241,3.21,3.181,3.154,3.127,3.101,3.076,3.051,3.028,3.004,2.982,2.96,2.938
[O II] λλ7319+7320,0.204,0.187,0.138,0.11,0.096,0.085,0.083,0.087,0.095,0.106,0.117,0.129,0.139,0.148,0.156,0.163,0.168,0.173,0.176,0.179,0.182,0.184,0.186,0.187,0.188,0.189,0.19,0.191,0.191,0.192,0.193,0.195,0.196,0.198,0.2,0.202,0.204
[S III] λλ9069+9031,0.35,0.313,0.246,0.259,0.47,0.703,0.953,1.236,1.522,1.804,2.061,2.285,2.468,2.613,2.734,2.839,2.937,3.033,3.129,3.226,3.324,3.422,3.521,3.618,3.716,3.81,3.902,3.991,4.076,4.159,4.241,4.321,4.402,4.481,4.56,4.641,4.722
Brα λ4.051 μm,0.108,0.108,0.104,0.1,0.095,0.093,0.09,0.089,0.087,0.086,0.085,0.085,0.085,0.084,0.084,0.085,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.088,0.088,0.089,0.09,0.09,0.091,0.092,0.092,0.093,0.093,0.094,0.094,0.094,0.095
[Ar VI] λ4.530 μm,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ar II] λ6.983 μm,0.065,0.099,0.106,0.109,0.112,0.113,0.114,0.114,0.114,0.114,0.113,0.111,0.11,0.111,0.113,0.117,0.122,0.128,0.136,0.144,0.154,0.164,0.175,0.186,0.198,0.211,0.223,0.236,0.249,0.261,0.273,0.285,0.296,0.306,0.315,0.324,0.333
