Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,29.474,12.554,5.247,5.115,4.497,3.778,3.343,3.008,2.722,2.477,2.263,2.078,1.916,1.78,1.666,1.568,1.484,1.414,1.353,1.301,1.256,1.217,1.182,1.15,1.12,1.091,1.064,1.036,1.008,0.981,0.953,0.927,0.9,0.873,0.848,0.822,0.798
N III λ990,1.63,1.657,0.82,0.559,0.506,0.428,0.383,0.347,0.314,0.286,0.261,0.24,0.221,0.205,0.192,0.181,0.171,0.163,0.156,0.15,0.145,0.14,0.136,0.132,0.128,0.125,0.121,0.118,0.115,0.111,0.108,0.105,0.102,0.098,0.095,0.092,0.089
"O VI λλ1032, 1037",0.0,0.181,6.422,34.826,37.419,33.176,30.911,28.745,26.74,25.061,23.352,21.909,20.481,19.317,18.23,17.22,16.339,15.582,14.92,14.328,13.81,13.362,12.962,12.602,12.263,11.939,11.623,11.312,11.006,10.703,10.405,10.115,9.826,9.549,9.278,9.015,8.764
Lyα λ1215,62.342,32.742,26.903,26.459,26.079,25.68,25.469,25.299,25.166,25.083,25.058,25.096,25.184,25.305,25.437,25.569,25.697,25.819,25.934,26.042,26.143,26.239,26.328,26.413,26.494,26.571,26.647,26.721,26.798,26.879,26.967,27.066,27.176,27.303,27.444,27.599,27.768
N V λ1239,0.066,1.075,2.613,1.491,1.474,1.277,1.176,1.089,1.01,0.929,0.856,0.785,0.725,0.67,0.624,0.586,0.554,0.526,0.502,0.482,0.465,0.45,0.437,0.425,0.414,0.403,0.393,0.383,0.373,0.364,0.354,0.344,0.335,0.326,0.317,0.308,0.3
SiIV + O IV λ1400,2.817,3.382,3.033,2.488,2.05,1.741,1.567,1.429,1.309,1.205,1.111,1.027,0.949,0.883,0.827,0.778,0.737,0.702,0.672,0.646,0.624,0.605,0.587,0.572,0.557,0.543,0.53,0.517,0.504,0.49,0.477,0.465,0.452,0.44,0.428,0.416,0.404
N IV λ1486,0.271,0.451,0.258,0.145,0.136,0.115,0.104,0.094,0.086,0.079,0.073,0.067,0.062,0.058,0.054,0.051,0.048,0.046,0.044,0.042,0.041,0.04,0.038,0.037,0.036,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.03,0.029,0.028,0.027,0.026
C IV λλ1548+1551,14.596,14.342,4.633,4.098,3.736,3.18,2.846,2.57,2.322,2.108,1.92,1.763,1.622,1.504,1.404,1.318,1.246,1.185,1.133,1.088,1.05,1.017,0.987,0.96,0.936,0.912,0.889,0.867,0.845,0.822,0.8,0.778,0.756,0.735,0.715,0.694,0.675
He II λ1640,0.71,0.757,0.442,0.374,0.356,0.361,0.427,0.526,0.646,0.779,0.902,1.001,1.059,1.081,1.082,1.075,1.065,1.057,1.051,1.046,1.042,1.039,1.037,1.036,1.035,1.035,1.037,1.039,1.043,1.049,1.058,1.069,1.082,1.099,1.118,1.138,1.16
O III] λλ1661+1666,2.803,2.515,1.842,1.437,1.2,1.023,0.923,0.841,0.767,0.704,0.648,0.599,0.557,0.521,0.491,0.464,0.441,0.422,0.404,0.389,0.376,0.365,0.354,0.345,0.336,0.327,0.319,0.311,0.302,0.294,0.286,0.277,0.269,0.261,0.254,0.246,0.239
N III λ1750,0.606,0.53,0.273,0.196,0.177,0.151,0.136,0.123,0.113,0.103,0.095,0.087,0.081,0.075,0.071,0.067,0.064,0.061,0.058,0.056,0.054,0.053,0.051,0.05,0.048,0.047,0.046,0.045,0.044,0.043,0.041,0.04,0.039,0.038,0.037,0.036,0.035
