Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,25.389,12.038,5.142,5.041,4.514,3.836,3.419,3.092,2.806,2.558,2.339,2.148,1.981,1.843,1.726,1.627,1.544,1.473,1.414,1.363,1.32,1.283,1.251,1.222,1.196,1.172,1.149,1.127,1.105,1.082,1.059,1.035,1.01,0.984,0.958,0.932,0.907
N III λ990,1.39,1.57,0.792,0.54,0.495,0.421,0.377,0.34,0.307,0.278,0.252,0.229,0.209,0.193,0.179,0.167,0.157,0.148,0.141,0.134,0.129,0.124,0.119,0.116,0.112,0.109,0.105,0.102,0.099,0.096,0.093,0.09,0.087,0.084,0.081,0.079,0.076
"O VI λλ1032, 1037",0.0,0.172,6.283,34.261,37.471,33.588,31.502,29.414,27.431,25.729,23.962,22.458,20.985,19.786,18.67,17.642,16.754,15.989,15.324,14.736,14.224,13.787,13.406,13.065,12.753,12.463,12.184,11.915,11.65,11.389,11.124,10.852,10.576,10.298,10.017,9.738,9.468
Lyα λ1215,58.388,34.482,29.244,28.9,28.663,28.369,28.233,28.12,28.038,28.003,28.025,28.114,28.254,28.428,28.623,28.826,29.031,29.233,29.43,29.621,29.805,29.984,30.157,30.324,30.485,30.641,30.794,30.944,31.092,31.24,31.388,31.537,31.689,31.845,32.006,32.171,32.344
N V λ1239,0.056,1.025,2.557,1.466,1.476,1.293,1.199,1.114,1.036,0.954,0.88,0.805,0.743,0.687,0.64,0.601,0.568,0.54,0.516,0.496,0.48,0.465,0.452,0.441,0.431,0.421,0.413,0.404,0.396,0.388,0.379,0.37,0.361,0.352,0.343,0.334,0.325
SiIV + O IV λ1400,2.42,3.234,2.968,2.448,2.054,1.763,1.598,1.464,1.344,1.238,1.141,1.054,0.974,0.906,0.848,0.799,0.757,0.722,0.692,0.667,0.645,0.626,0.61,0.595,0.582,0.57,0.558,0.547,0.536,0.525,0.514,0.502,0.49,0.478,0.465,0.453,0.441
N IV λ1486,0.233,0.432,0.253,0.143,0.136,0.117,0.106,0.096,0.088,0.081,0.075,0.069,0.064,0.059,0.056,0.052,0.05,0.047,0.045,0.044,0.042,0.041,0.04,0.039,0.038,0.037,0.037,0.036,0.035,0.034,0.034,0.033,0.032,0.031,0.031,0.03,0.029
C IV λλ1548+1551,12.507,13.733,4.534,4.034,3.744,3.222,2.903,2.633,2.385,2.168,1.974,1.811,1.666,1.545,1.442,1.356,1.283,1.221,1.169,1.125,1.087,1.055,1.027,1.003,0.98,0.96,0.94,0.922,0.903,0.884,0.865,0.845,0.824,0.803,0.782,0.761,0.74
He II λ1640,0.607,0.723,0.431,0.366,0.35,0.347,0.393,0.47,0.565,0.674,0.776,0.858,0.903,0.918,0.913,0.901,0.886,0.873,0.861,0.85,0.841,0.832,0.824,0.817,0.811,0.806,0.802,0.799,0.798,0.798,0.8,0.803,0.808,0.815,0.823,0.832,0.842
O III] λλ1661+1666,2.414,2.408,1.804,1.416,1.204,1.038,0.943,0.864,0.791,0.727,0.669,0.619,0.575,0.539,0.508,0.482,0.459,0.439,0.422,0.407,0.395,0.384,0.374,0.366,0.358,0.35,0.343,0.336,0.329,0.322,0.315,0.308,0.3,0.292,0.285,0.277,0.269
N III λ1750,0.522,0.509,0.268,0.195,0.179,0.154,0.14,0.128,0.118,0.108,0.1,0.092,0.085,0.08,0.075,0.071,0.068,0.065,0.063,0.061,0.059,0.058,0.056,0.055,0.054,0.053,0.052,0.051,0.05,0.049,0.048,0.047,0.046,0.045,0.044,0.043,0.041
C III] λ1909,7.995,3.818,1.979,1.867,1.686,1.454,1.309,1.194,1.091,1.003,0.925,0.859,0.801,0.754,0.715,0.681,0.652,0.628,0.607,0.588,0.573,0.559,0.546,0.535,0.525,0.515,0.506,0.497,0.488,0.479,0.47,0.461,0.452,0.442,0.433,0.423,0.414
C II] λ2326,1.586,0.755,0.458,0.4,0.344,0.293,0.268,0.256,0.254,0.262,0.278,0.298,0.318,0.335,0.349,0.359,0.367,0.373,0.379,0.384,0.388,0.392,0.395,0.399,0.402,0.406,0.41,0.414,0.418,0.423,0.428,0.434,0.441,0.449,0.458,0.467,0.476
Mg II λ2800,0.19,0.122,0.09,0.094,0.119,0.149,0.198,0.277,0.377,0.501,0.643,0.792,0.932,1.052,1.151,1.228,1.291,1.342,1.385,1.42,1.45,1.475,1.497,1.516,1.533,1.547,1.559,1.57,1.58,1.589,1.598,1.605,1.614,1.622,1.632,1.644,1.657
Ne V λ3426,0.001,0.032,0.11,0.196,0.265,0.224,0.2,0.181,0.165,0.15,0.137,0.126,0.116,0.108,0.101,0.096,0.091,0.087,0.083,0.081,0.078,0.076,0.074,0.073,0.071,0.07,0.069,0.068,0.066,0.065,0.064,0.063,0.061,0.06,0.058,0.057,0.055
Ne III λ3869,0.86,0.674,0.481,0.44,0.396,0.35,0.334,0.337,0.359,0.4,0.453,0.51,0.561,0.603,0.632,0.652,0.664,0.673,0.678,0.681,0.683,0.684,0.685,0.686,0.687,0.689,0.692,0.695,0.7,0.706,0.714,0.723,0.734,0.746,0.761,0.777,0.794
[O II] λλ3727+3729,0.86,0.674,0.481,0.44,0.396,0.35,0.334,0.337,0.359,0.4,0.453,0.51,0.561,0.603,0.632,0.652,0.664,0.673,0.678,0.681,0.683,0.684,0.685,0.686,0.687,0.689,0.692,0.695,0.7,0.706,0.714,0.723,0.734,0.746,0.761,0.777,0.794
[S II] λλ4069+4076,0.086,0.059,0.043,0.046,0.055,0.066,0.084,0.111,0.144,0.181,0.218,0.254,0.286,0.314,0.338,0.359,0.379,0.397,0.414,0.431,0.447,0.463,0.479,0.495,0.511,0.527,0.543,0.56,0.576,0.593,0.61,0.628,0.646,0.665,0.684,0.703,0.722
[O III] λ4363,0.389,0.376,0.28,0.221,0.189,0.163,0.149,0.136,0.125,0.115,0.107,0.099,0.092,0.086,0.081,0.077,0.074,0.07,0.068,0.065,0.063,0.062,0.06,0.059,0.057,0.056,0.055,0.054,0.053,0.052,0.051,0.049,0.048,0.047,0.046,0.044,0.043
He II λ4686,0.061,0.09,0.057,0.048,0.047,0.048,0.057,0.07,0.086,0.104,0.121,0.134,0.142,0.144,0.143,0.141,0.138,0.136,0.134,0.132,0.131,0.129,0.128,0.127,0.126,0.125,0.124,0.124,0.124,0.124,0.124,0.125,0.126,0.127,0.128,0.129,0.131
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,4.408,3.941,2.873,2.296,1.981,1.726,1.591,1.475,1.366,1.27,1.182,1.104,1.035,0.977,0.926,0.88,0.841,0.806,0.776,0.749,0.726,0.706,0.688,0.671,0.656,0.642,0.628,0.615,0.602,0.589,0.575,0.561,0.547,0.533,0.519,0.504,0.49
[N I] λ5200,0.111,0.111,0.068,0.068,0.069,0.069,0.091,0.091,0.141,0.141,0.192,0.192,0.276,0.276,0.399,0.399,0.546,0.546,0.704,0.704,0.85,0.85,0.969,0.969,1.052,1.052,1.105,1.105,1.135,1.135,1.151,1.151,1.159,1.159,1.162,1.162,1.163
[O I] λ6300,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.214,3.207,3.135,3.105,3.073,3.049,3.03,3.014,3.001,2.991,2.982,2.974,2.968,2.964,2.96,2.957,2.955,2.953,2.951,2.95,2.949,2.949,2.948,2.948,2.948,2.947,2.947,2.948,2.948,2.948,2.948,2.949,2.95,2.951,2.951,2.952,2.953
[N II] λ6583,1.414,1.022,0.833,0.888,1.064,1.221,1.428,1.701,1.998,2.316,2.642,2.955,3.232,3.462,3.642,3.78,3.886,3.969,4.033,4.081,4.118,4.146,4.166,4.181,4.191,4.198,4.203,4.207,4.212,4.216,4.222,4.228,4.237,4.248,4.261,4.275,4.293
[S II] λλ6716+6731,1.292,0.971,1.089,1.374,1.829,2.222,2.809,3.553,4.311,5.037,5.648,6.116,6.429,6.622,6.726,6.77,6.781,6.774,6.755,6.73,6.703,6.677,6.652,6.628,6.607,6.59,6.576,6.566,6.56,6.561,6.566,6.575,6.59,6.61,6.632,6.655,6.679
