Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,21.13,10.982,4.906,4.804,4.285,3.619,3.205,2.856,2.567,2.328,2.118,1.935,1.774,1.636,1.518,1.416,1.328,1.251,1.184,1.124,1.072,1.024,0.982,0.943,0.908,0.874,0.843,0.813,0.784,0.756,0.729,0.703,0.676,0.651,0.626,0.602,0.578
N III λ990,1.157,1.449,0.76,0.516,0.473,0.4,0.357,0.318,0.284,0.256,0.232,0.21,0.191,0.175,0.162,0.15,0.139,0.13,0.123,0.116,0.109,0.104,0.099,0.094,0.09,0.086,0.082,0.079,0.076,0.072,0.069,0.066,0.063,0.061,0.058,0.055,0.053
"O VI λλ1032, 1037",0.0,0.163,6.074,33.186,36.317,32.526,30.49,28.196,26.194,24.588,22.946,21.53,20.128,18.954,17.836,16.79,15.867,15.051,14.321,13.654,13.064,12.537,12.066,11.634,11.237,10.863,10.504,10.166,9.84,9.528,9.221,8.924,8.628,8.34,8.06,7.781,7.509
Lyα λ1215,52.281,32.713,28.036,27.658,27.38,27.054,26.897,26.807,26.846,27.051,27.397,27.835,28.296,28.734,29.123,29.458,29.751,30.007,30.233,30.432,30.614,30.783,30.943,31.099,31.255,31.417,31.588,31.777,31.989,32.233,32.507,32.821,33.166,33.547,33.962,34.383,34.802
N V λ1239,0.047,0.963,2.473,1.419,1.429,1.251,1.158,1.066,0.988,0.91,0.839,0.769,0.71,0.655,0.608,0.569,0.535,0.505,0.479,0.456,0.437,0.419,0.403,0.389,0.376,0.363,0.352,0.341,0.33,0.32,0.31,0.3,0.29,0.281,0.272,0.262,0.253
SiIV + O IV λ1400,2.027,3.004,2.866,2.366,1.983,1.699,1.537,1.393,1.273,1.173,1.082,0.999,0.923,0.856,0.798,0.747,0.704,0.666,0.633,0.603,0.577,0.554,0.533,0.514,0.497,0.48,0.465,0.45,0.436,0.422,0.408,0.395,0.382,0.369,0.357,0.344,0.332
N IV λ1486,0.195,0.401,0.244,0.138,0.132,0.112,0.101,0.092,0.083,0.077,0.071,0.065,0.06,0.056,0.052,0.049,0.046,0.043,0.041,0.039,0.037,0.036,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.027,0.026,0.025,0.025,0.024,0.023,0.022,0.021
C IV λλ1548+1551,10.474,12.652,4.37,3.888,3.607,3.096,2.783,2.497,2.249,2.042,1.859,1.704,1.564,1.445,1.344,1.255,1.178,1.113,1.055,1.004,0.96,0.92,0.885,0.852,0.823,0.795,0.768,0.743,0.719,0.696,0.673,0.651,0.629,0.607,0.586,0.565,0.544
He II λ1640,0.511,0.674,0.423,0.367,0.387,0.434,0.549,0.692,0.858,1.035,1.198,1.323,1.392,1.416,1.413,1.399,1.383,1.369,1.356,1.344,1.333,1.324,1.315,1.307,1.301,1.297,1.294,1.294,1.297,1.302,1.31,1.321,1.334,1.35,1.368,1.386,1.404
