Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,900,925,950,975,1000
[S II] λλ4069+4076,0.012,0.046,0.053,0.057,0.061,0.063,0.074,0.087,0.094,0.096,0.096,0.093,0.09,0.087,0.084,0.082,0.08,0.078,0.078,0.078,0.079,0.08,0.083,0.085,0.088,0.092,0.095,0.099,0.103,0.107,0.111,0.118,0.121,0.124,0.126,0.129
[O III] λ4363,0.0,0.246,0.304,0.254,0.19,0.155,0.142,0.133,0.125,0.12,0.118,0.119,0.122,0.126,0.13,0.134,0.138,0.141,0.144,0.146,0.148,0.15,0.152,0.153,0.154,0.156,0.157,0.159,0.161,0.163,0.165,0.171,0.174,0.177,0.18,0.183
He II λ4686,0.0,0.054,0.105,0.086,0.102,0.137,0.189,0.25,0.311,0.368,0.413,0.44,0.447,0.437,0.42,0.401,0.384,0.369,0.357,0.346,0.337,0.328,0.321,0.315,0.309,0.305,0.301,0.298,0.296,0.295,0.294,0.296,0.298,0.301,0.303,0.305
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,0.001,3.09,3.523,2.999,2.457,2.442,2.961,3.746,4.645,5.653,6.71,7.77,8.805,9.759,10.578,11.255,11.792,12.211,12.535,12.778,12.944,13.05,13.113,13.139,13.136,13.106,13.083,13.066,13.048,13.04,13.043,13.075,13.101,13.132,13.159,13.188
[N I] λ5200,0.047,0.047,0.034,0.034,0.031,0.031,0.028,0.028,0.042,0.042,0.079,0.079,0.123,0.123,0.156,0.156,0.177,0.177,0.197,0.197,0.219,0.219,0.249,0.249,0.293,0.293,0.349,0.349,0.416,0.416,0.491,0.491,0.572,0.572,0.66,0.66
[O I] λ6300,3.126,3.126,3.126,3.126,3.126,3.127,3.126,3.126,3.126,3.126,3.126,3.126,3.127,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.731,3.152,3.067,3.032,3.003,2.964,2.944,2.932,2.924,2.921,2.921,2.922,2.924,2.926,2.93,2.934,2.939,2.944,2.95,2.956,2.962,2.97,2.978,2.986,2.995,3.004,3.013,3.023,3.033,3.042,3.052,3.072,3.082,3.092,3.103,3.114
[N II] λ6583,0.361,1.014,1.423,1.661,1.985,2.57,3.008,3.407,3.658,3.812,3.887,3.891,3.854,3.783,3.706,3.639,3.591,3.567,3.567,3.592,3.632,3.693,3.772,3.86,3.962,4.072,4.18,4.291,4.398,4.506,4.611,4.797,4.883,4.957,5.032,5.098
[S II] λλ6716+6731,0.314,0.87,1.335,1.616,1.678,1.662,1.849,2.002,2.036,2.008,1.942,1.856,1.768,1.685,1.617,1.57,1.545,1.542,1.559,1.597,1.65,1.721,1.807,1.904,2.012,2.128,2.246,2.364,2.481,2.596,2.705,2.899,2.984,3.057,3.123,3.181
[O II] λλ7319+7320,0.018,0.151,0.159,0.135,0.111,0.108,0.112,0.128,0.146,0.162,0.176,0.185,0.192,0.195,0.196,0.196,0.196,0.195,0.195,0.195,0.195,0.195,0.196,0.197,0.199,0.201,0.203,0.205,0.207,0.209,0.212,0.216,0.219,0.221,0.223,0.225
[S III] λλ9069+9031,0.147,0.401,0.461,0.464,0.77,1.39,1.762,2.122,2.444,2.737,3.007,3.252,3.478,3.684,3.877,4.061,4.239,4.415,4.591,4.768,4.94,5.116,5.292,5.463,5.634,5.801,5.956,6.105,6.241,6.371,6.49,6.687,6.771,6.838,6.899,6.95
