Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,20.172,10.78,4.766,4.647,4.137,3.494,3.022,2.666,2.379,2.142,1.936,1.756,1.596,1.461,1.342,1.24,1.154,1.078,1.013,0.957,0.907,0.864,0.824,0.788,0.723,0.693,0.665,0.638,0.612,0.587,0.563,0.539,0.517,0.495,0.474,0.454
N III λ990,1.103,1.425,0.749,0.504,0.462,0.392,0.341,0.302,0.269,0.241,0.217,0.196,0.177,0.161,0.148,0.136,0.126,0.117,0.109,0.103,0.097,0.092,0.087,0.083,0.075,0.071,0.068,0.065,0.062,0.059,0.056,0.054,0.051,0.049,0.046,0.044
"O VI λλ1032, 1037",0.0,0.162,6.063,33.328,36.73,33.176,30.63,28.256,26.267,24.664,23.015,21.563,20.109,18.871,17.67,16.546,15.558,14.685,13.919,13.225,12.608,12.065,11.569,11.117,10.291,9.908,9.54,9.184,8.839,8.505,8.18,7.864,7.558,7.261,6.979,6.703
Lyα λ1215,50.712,31.92,27.234,26.874,26.623,26.343,26.206,26.23,26.464,26.921,27.519,28.165,28.775,29.308,29.742,30.089,30.377,30.619,30.831,31.017,31.189,31.355,31.513,31.675,32.027,32.232,32.463,32.726,33.027,33.367,33.744,34.155,34.601,35.064,35.537,36.001
N V λ1239,0.045,0.959,2.483,1.423,1.441,1.271,1.158,1.064,0.985,0.907,0.836,0.765,0.703,0.646,0.597,0.555,0.519,0.487,0.46,0.436,0.416,0.397,0.381,0.366,0.338,0.326,0.314,0.302,0.291,0.28,0.27,0.259,0.249,0.24,0.23,0.221
SiIV + O IV λ1400,1.946,2.984,2.864,2.363,1.986,1.712,1.521,1.374,1.254,1.154,1.062,0.978,0.899,0.83,0.769,0.715,0.669,0.629,0.594,0.564,0.537,0.513,0.491,0.472,0.436,0.42,0.404,0.389,0.374,0.36,0.346,0.332,0.319,0.307,0.295,0.283
N IV λ1486,0.187,0.398,0.244,0.137,0.131,0.113,0.1,0.09,0.082,0.075,0.069,0.063,0.058,0.053,0.049,0.046,0.043,0.04,0.038,0.036,0.034,0.033,0.031,0.03,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.019,0.018
C IV λλ1548+1551,10.075,12.59,4.353,3.862,3.595,3.105,2.74,2.447,2.199,1.992,1.809,1.652,1.509,1.387,1.279,1.186,1.106,1.038,0.978,0.927,0.882,0.842,0.805,0.772,0.713,0.686,0.66,0.635,0.61,0.587,0.564,0.542,0.52,0.499,0.479,0.459
He II λ1640,0.494,0.678,0.431,0.381,0.428,0.508,0.653,0.836,1.044,1.26,1.454,1.597,1.672,1.691,1.678,1.653,1.628,1.605,1.586,1.569,1.554,1.541,1.528,1.517,1.498,1.492,1.487,1.485,1.484,1.486,1.492,1.501,1.512,1.524,1.538,1.551
O III] λλ1661+1666,1.913,2.181,1.708,1.332,1.128,0.97,0.859,0.771,0.697,0.635,0.58,0.532,0.489,0.453,0.421,0.393,0.368,0.346,0.328,0.311,0.296,0.283,0.271,0.26,0.24,0.231,0.222,0.213,0.205,0.197,0.189,0.181,0.174,0.167,0.16,0.153
N III λ1750,0.413,0.459,0.251,0.179,0.164,0.141,0.125,0.112,0.101,0.092,0.084,0.077,0.071,0.065,0.06,0.056,0.053,0.05,0.047,0.045,0.043,0.041,0.04,0.038,0.035,0.034,0.033,0.032,0.03,0.029,0.028,0.027,0.026,0.025,0.024,0.023
C III] λ1909,6.313,3.381,1.812,1.696,1.525,1.311,1.153,1.04,0.959,0.903,0.866,0.843,0.829,0.821,0.816,0.811,0.807,0.803,0.799,0.796,0.792,0.789,0.785,0.781,0.773,0.769,0.766,0.764,0.763,0.763,0.764,0.767,0.771,0.776,0.782,0.788
C II] λ2326,1.176,0.616,0.381,0.33,0.286,0.255,0.257,0.288,0.337,0.395,0.449,0.494,0.526,0.547,0.56,0.568,0.572,0.574,0.576,0.577,0.579,0.581,0.584,0.588,0.6,0.609,0.619,0.631,0.644,0.659,0.675,0.691,0.707,0.723,0.738,0.751
